epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
11,34.2385,1.26032,1.19568,1.90007,1.0907,0,0.92353,0.80903,0.86439,0.54092,0.92353,0.80903,0.86439,0.56883,1.21357,0.99714,1.76502,1.00835,0,0.00125216,0.00125216,0.00125216
12,36.4156,1.18433,0.87663,1.70162,1.03922,0,0.92353,0.80903,0.86439,0.54092,0.92353,0.80903,0.86439,0.56883,1.21357,0.99714,1.76502,1.00835,0,0.00123448,0.00123448,0.00123448
13,38.5832,1.09515,0.91748,1.61359,1.01571,0,0.94682,0.87208,0.87519,0.63903,0.94682,0.87208,0.87615,0.62709,0.93337,0.90803,1.54832,0.88789,0,0.00121679,0.00121679,0.00121679
14,40.7592,1.01236,0.86044,1.61751,0.98333,0,0.94609,0.87199,0.87005,0.61704,0.94609,0.87199,0.87774,0.65248,0.85464,0.81332,1.41495,0.88841,0,0.00119911,0.00119911,0.00119911
15,42.9173,0.88087,0.80505,1.65845,0.95991,0,0.94609,0.87199,0.87005,0.61704,0.94609,0.87199,0.87774,0.65248,0.85464,0.81332,1.41495,0.88841,0,0.00118143,0.00118143,0.00118143
16,45.0817,0.88336,0.77122,1.45885,0.96162,0,0.93836,0.88061,0.87511,0.59416,0.93836,0.88061,0.87179,0.61259,0.88065,0.95827,1.36106,0.9052,0,0.00116374,0.00116374,0.00116374
17,47.223,0.83565,0.7536,1.44609,0.92403,0,0.91208,0.87365,0.86637,0.66483,0.91208,0.87365,0.86961,0.60337,0.74199,0.93758,1.3086,0.85058,0,0.00114606,0.00114606,0.00114606
18,49.4242,0.8381,0.75329,1.35637,0.9592,0,0.91208,0.87365,0.86637,0.66483,0.91208,0.87365,0.86961,0.60337,0.74199,0.93758,1.3086,0.85058,0,0.00112837,0.00112837,0.00112837
19,51.8099,0.75613,0.70587,1.29139,0.90409,0,0.92723,0.89389,0.87398,0.68849,0.91519,0.87892,0.86414,0.6496,0.72812,0.85825,1.2465,0.84716,0,0.00111069,0.00111069,0.00111069
20,54.6778,0.72704,0.63867,1.30766,0.90215,0,0.92808,0.86545,0.86066,0.6948,0.94158,0.88061,0.87857,0.64134,0.72043,0.9425,1.17575,0.85029,0,0.00109301,0.00109301,0.00109301
21,57.7703,0.79541,0.63564,1.33807,0.91519,0,0.92808,0.86545,0.86066,0.6948,0.94158,0.88061,0.87857,0.64134,0.72043,0.9425,1.17575,0.85029,0,0.00107532,0.00107532,0.00107532
22,60.3175,0.75425,0.76845,1.26052,0.91339,0,0.93837,0.86545,0.8534,0.72509,0.95256,0.88061,0.87234,0.64119,0.63644,0.81945,1.13897,0.83591,0,0.00105764,0.00105764,0.00105764
23,62.5795,0.7483,0.60396,1.16576,0.90178,0,0.93088,0.87598,0.85935,0.73744,0.94369,0.89107,0.87485,0.64058,0.61419,0.8022,1.1182,0.81726,0,0.00103995,0.00103995,0.00103995
24,64.7965,0.74816,0.63341,1.25536,0.91539,0,0.94113,0.87627,0.85946,0.73792,0.94113,0.87627,0.86109,0.66035,0.59747,0.81736,1.07759,0.81389,0,0.00102227,0.00102227,0.00102227
25,66.9683,0.67442,0.63112,1.13837,0.86254,0,0.94113,0.87627,0.85946,0.73792,0.94113,0.87627,0.86109,0.66035,0.59747,0.81736,1.07759,0.81389,0,0.00100459,0.00100459,0.00100459
26,69.4144,0.72532,0.62291,1.12928,0.90654,0,0.95077,0.89607,0.87625,0.73262,0.95077,0.89607,0.87927,0.70976,0.60299,0.72097,1.0108,0.80731,0,0.000986903,0.000986903,0.000986903
27,71.6371,0.72277,0.67631,1.08056,0.90147,0,0.94213,0.89999,0.869,0.7243,0.94213,0.89999,0.87346,0.69096,0.58512,0.69155,0.9784,0.79724,0,0.000969219,0.000969219,0.000969219
28,73.7687,0.61704,0.62818,1.06087,0.86939,0,0.94213,0.89999,0.869,0.7243,0.94213,0.89999,0.87346,0.69096,0.58512,0.69155,0.9784,0.79724,0,0.000951535,0.000951535,0.000951535
29,75.9656,0.66634,0.62918,1.0565,0.85968,0,0.94436,0.89576,0.87013,0.69611,0.94436,0.89576,0.87581,0.66669,0.57264,0.71243,1.00836,0.79357,0,0.000933851,0.000933851,0.000933851
30,78.3143,0.66166,0.63412,0.99758,0.87778,0,0.94972,0.89576,0.87146,0.7245,0.94972,0.89576,0.87854,0.67453,0.55968,0.69924,1.00949,0.80018,0,0.000916168,0.000916168,0.000916168
31,80.5575,0.60723,0.60377,1.03067,0.87051,0,0.94972,0.89576,0.87146,0.7245,0.94972,0.89576,0.87854,0.67453,0.55968,0.69924,1.00949,0.80018,0,0.000898484,0.000898484,0.000898484
32,82.7947,0.58949,0.60028,0.98466,0.86737,0,0.95011,0.89576,0.87874,0.73398,0.95011,0.89576,0.88521,0.64711,0.52245,0.69991,1.00422,0.79357,0,0.0008808,0.0008808,0.0008808
33,85.009,0.60983,0.56767,1.04871,0.86745,0,0.95351,0.89576,0.87905,0.73071,0.95351,0.89576,0.88551,0.65118,0.51959,0.70275,0.97961,0.78116,0,0.000863116,0.000863116,0.000863116
34,87.215,0.57352,0.55848,0.94609,0.84383,0,0.95351,0.89576,0.87905,0.73071,0.95351,0.89576,0.88551,0.65118,0.51959,0.70275,0.97961,0.78116,0,0.000845432,0.000845432,0.000845432
35,89.4243,0.6078,0.5338,0.94933,0.86689,0,0.95554,0.88061,0.87618,0.74721,0.95554,0.88061,0.8837,0.66302,0.5013,0.67705,0.92768,0.77714,0,0.000827748,0.000827748,0.000827748
36,91.6112,0.58905,0.57557,0.98226,0.84847,0,0.9628,0.88061,0.87934,0.7437,0.9628,0.88061,0.87934,0.65762,0.52055,0.64942,0.91384,0.77893,0,0.000810064,0.000810064,0.000810064
37,94.0003,0.57728,0.49888,0.95049,0.85423,0,0.9628,0.88061,0.87934,0.7437,0.9628,0.88061,0.87934,0.65762,0.52055,0.64942,0.91384,0.77893,0,0.00079238,0.00079238,0.00079238
38,96.5268,0.57489,0.58614,0.98521,0.85569,0,0.95598,0.88061,0.88286,0.74785,0.95598,0.88061,0.90157,0.68588,0.49389,0.63745,0.89939,0.77797,0,0.000774697,0.000774697,0.000774697
39,98.84,0.59892,0.55267,1.03561,0.86212,0,0.94681,0.88061,0.89113,0.74959,0.94681,0.88061,0.91146,0.71772,0.49448,0.61452,0.87351,0.77239,0,0.000757013,0.000757013,0.000757013
40,101.095,0.55803,0.51961,0.94872,0.84701,0,0.94285,0.88061,0.88824,0.76653,0.94285,0.88061,0.90485,0.71662,0.46448,0.60914,0.88065,0.77217,0,0.000739329,0.000739329,0.000739329
41,103.564,0.62363,0.56819,0.91403,0.87786,0,0.94285,0.88061,0.88824,0.76653,0.94285,0.88061,0.90485,0.71662,0.46448,0.60914,0.88065,0.77217,0,0.000721645,0.000721645,0.000721645
42,105.866,0.54548,0.52256,0.95673,0.85104,0,0.94337,0.88061,0.88821,0.76526,0.94337,0.88061,0.90085,0.6765,0.50106,0.60915,0.88546,0.7847,0,0.000703961,0.000703961,0.000703961
43,108.098,0.57169,0.52402,0.94121,0.86909,0,0.95541,0.88061,0.88852,0.76851,0.96687,0.89437,0.90989,0.70173,0.48621,0.61029,0.87554,0.78094,0,0.000686277,0.000686277,0.000686277
44,110.457,0.55675,0.5728,0.85778,0.85598,0,0.95541,0.88061,0.88852,0.76851,0.96687,0.89437,0.90989,0.70173,0.48621,0.61029,0.87554,0.78094,0,0.000668593,0.000668593,0.000668593
45,112.68,0.5484,0.52085,0.83482,0.86561,0,0.96601,0.89904,0.91053,0.7555,0.96601,0.89904,0.91053,0.69644,0.47873,0.62729,0.8523,0.78252,0,0.000650909,0.000650909,0.000650909
46,114.954,0.50774,0.5204,0.88948,0.83808,0,0.96094,0.89956,0.91197,0.77457,0.96094,0.89956,0.91197,0.71887,0.46108,0.61676,0.83493,0.77578,0,0.000633226,0.000633226,0.000633226
47,117.137,0.51643,0.48473,0.84592,0.83995,0,0.96094,0.89956,0.91197,0.77457,0.96094,0.89956,0.91197,0.71887,0.46108,0.61676,0.83493,0.77578,0,0.000615542,0.000615542,0.000615542
48,119.342,0.54103,0.51864,0.88359,0.86195,0,0.95461,0.89371,0.92508,0.77743,0.95461,0.89371,0.92508,0.71311,0.45828,0.61089,0.81951,0.77127,0,0.000597858,0.000597858,0.000597858
49,121.761,0.55704,0.54361,0.83748,0.84107,0,0.95447,0.89298,0.92278,0.78767,0.95447,0.89298,0.92278,0.71938,0.46028,0.60895,0.82848,0.76994,0,0.000580174,0.000580174,0.000580174
50,124.194,0.53516,0.45309,0.90369,0.84662,0,0.95447,0.89298,0.92278,0.78767,0.95447,0.89298,0.92278,0.71938,0.46028,0.60895,0.82848,0.76994,0,0.00056249,0.00056249,0.00056249
51,126.572,0.50852,0.50266,0.80357,0.84955,0,0.95797,0.89296,0.91769,0.78515,0.96184,0.88061,0.90536,0.72406,0.44779,0.61597,0.81448,0.77016,0,0.000544806,0.000544806,0.000544806
52,128.848,0.51553,0.51525,0.83784,0.84608,0,0.95825,0.88061,0.88269,0.7757,0.95825,0.88061,0.90079,0.72922,0.45993,0.62761,0.83322,0.77309,0,0.000527122,0.000527122,0.000527122
53,131.32,0.47569,0.44999,0.82371,0.83992,0,0.95825,0.88061,0.88269,0.7757,0.95825,0.88061,0.90079,0.72922,0.45993,0.62761,0.83322,0.77309,0,0.000509438,0.000509438,0.000509438
54,134.222,0.47165,0.49454,0.78389,0.83966,0,0.95885,0.88061,0.88258,0.78096,0.95885,0.88061,0.89725,0.71423,0.45673,0.6274,0.83976,0.77772,0,0.000491755,0.000491755,0.000491755
55,136.477,0.49156,0.51452,0.81381,0.84098,0,0.95734,0.88061,0.89839,0.78952,0.96344,0.88791,0.91067,0.71837,0.45198,0.61459,0.82648,0.78141,0,0.000474071,0.000474071,0.000474071
56,138.67,0.46755,0.46023,0.7946,0.82294,0,0.96404,0.88756,0.91141,0.78052,0.96404,0.88756,0.91141,0.71974,0.47255,0.62155,0.80977,0.7881,0,0.000456387,0.000456387,0.000456387
57,141.246,0.46838,0.50498,0.84647,0.83477,0,0.96404,0.88756,0.91141,0.78052,0.96404,0.88756,0.91141,0.71974,0.47255,0.62155,0.80977,0.7881,0,0.000438703,0.000438703,0.000438703
58,143.514,0.50508,0.549,0.8182,0.84957,0,0.96359,0.88061,0.90135,0.78758,0.96593,0.88479,0.91363,0.72989,0.46712,0.62864,0.78195,0.78007,0,0.000421019,0.000421019,0.000421019
59,145.637,0.48043,0.48674,0.78259,0.84009,0,0.96485,0.88061,0.91177,0.79595,0.96485,0.88061,0.91177,0.72486,0.47714,0.62779,0.79268,0.77817,0,0.000403335,0.000403335,0.000403335
60,147.772,0.52264,0.48692,0.85535,0.85391,0,0.96485,0.88061,0.91177,0.79595,0.96485,0.88061,0.91177,0.72486,0.47714,0.62779,0.79268,0.77817,0,0.000385651,0.000385651,0.000385651
61,150.265,0.47991,0.49973,0.77781,0.83947,0,0.96407,0.88061,0.91135,0.7898,0.96407,0.88061,0.91135,0.71695,0.4705,0.62952,0.77477,0.77477,0,0.000367967,0.000367967,0.000367967
62,152.837,0.49711,0.51024,0.87683,0.84189,0,0.96181,0.88061,0.91579,0.79101,0.96181,0.88061,0.91579,0.7161,0.45212,0.61088,0.77273,0.77376,0,0.000350284,0.000350284,0.000350284
63,155.493,0.49133,0.48312,0.75132,0.83241,0,0.96181,0.88061,0.91579,0.79101,0.96181,0.88061,0.91579,0.7161,0.45212,0.61088,0.77273,0.77376,0,0.0003326,0.0003326,0.0003326
64,157.988,0.45911,0.46247,0.82231,0.8307,0,0.9592,0.88061,0.89775,0.79286,0.9592,0.88061,0.90948,0.71818,0.44529,0.5997,0.77461,0.77423,0,0.000314916,0.000314916,0.000314916
65,160.382,0.44312,0.46138,0.72005,0.81562,0,0.95991,0.88061,0.89418,0.79149,0.95991,0.88061,0.90591,0.72602,0.41971,0.60486,0.78654,0.77211,0,0.000297232,0.000297232,0.000297232
66,162.867,0.4559,0.50284,0.76447,0.82025,0,0.95991,0.88061,0.89418,0.79149,0.95991,0.88061,0.90591,0.72602,0.41971,0.60486,0.78654,0.77211,0,0.000279548,0.000279548,0.000279548
67,165.477,0.44182,0.46126,0.78403,0.81753,0,0.96267,0.88142,0.89684,0.8021,0.96273,0.89529,0.90949,0.73328,0.43295,0.61772,0.809,0.77337,0,0.000261864,0.000261864,0.000261864
68,167.741,0.46195,0.49758,0.80882,0.83127,0,0.96279,0.88134,0.89787,0.80224,0.95603,0.89664,0.91048,0.72286,0.45132,0.62963,0.80021,0.77892,0,0.00024418,0.00024418,0.00024418
69,169.917,0.47053,0.51937,0.77727,0.85224,0,0.96279,0.88134,0.89787,0.80224,0.95603,0.89664,0.91048,0.72286,0.45132,0.62963,0.80021,0.77892,0,0.000226497,0.000226497,0.000226497
70,172.243,0.41965,0.44107,0.7457,0.83776,0,0.96361,0.88143,0.90033,0.80045,0.95125,0.89779,0.91283,0.71448,0.44531,0.62312,0.79027,0.77939,0,0.000208813,0.000208813,0.000208813
71,174.393,0.49488,0.52169,1.04842,0.83626,0,0.96585,0.88158,0.90696,0.81182,0.96585,0.88158,0.90696,0.71835,0.43787,0.62275,0.77666,0.77385,0,0.000191129,0.000191129,0.000191129
72,176.764,0.48651,0.50919,1.03948,0.83841,0,0.96574,0.88191,0.91112,0.79848,0.96574,0.88191,0.91112,0.7175,0.43746,0.61733,0.77005,0.76773,0,0.000173445,0.000173445,0.000173445
73,179.177,0.44889,0.47089,0.99533,0.832,0,0.96574,0.88191,0.91112,0.79848,0.96574,0.88191,0.91112,0.7175,0.43746,0.61733,0.77005,0.76773,0,0.000155761,0.000155761,0.000155761
74,181.558,0.43228,0.47802,0.9248,0.80093,0,0.96645,0.88177,0.91557,0.78929,0.96645,0.88177,0.91557,0.70278,0.44731,0.61626,0.77634,0.76707,0,0.000138077,0.000138077,0.000138077
75,184.342,0.47798,0.4759,1.01741,0.81969,0,0.96632,0.88218,0.90791,0.79078,0.96632,0.88218,0.90791,0.71039,0.44682,0.60992,0.79146,0.7668,0,0.000120393,0.000120393,0.000120393
76,186.666,0.45243,0.4562,0.97885,0.81434,0,0.96632,0.88218,0.90791,0.79078,0.96632,0.88218,0.90791,0.71039,0.44682,0.60992,0.79146,0.7668,0,0.000102709,0.000102709,0.000102709
77,188.922,0.46518,0.43655,0.99211,0.81789,0,0.96494,0.88061,0.90575,0.79271,0.96494,0.88061,0.90575,0.72743,0.44314,0.60979,0.79206,0.76905,0,8.50255e-05,8.50255e-05,8.50255e-05
78,191.25,0.43502,0.45064,0.93052,0.80529,0,0.96442,0.88061,0.90083,0.78466,0.96442,0.88061,0.90083,0.72646,0.42673,0.60881,0.78331,0.76525,0,6.73416e-05,6.73416e-05,6.73416e-05
79,193.651,0.46723,0.50773,0.98732,0.8399,0,0.96442,0.88061,0.90083,0.78466,0.96442,0.88061,0.90083,0.72646,0.42673,0.60881,0.78331,0.76525,0,4.96578e-05,4.96578e-05,4.96578e-05
80,195.902,0.44416,0.47318,0.96956,0.83132,0,0.96339,0.88061,0.90042,0.78812,0.96339,0.88061,0.90042,0.72674,0.42607,0.60876,0.77457,0.76453,0,3.19739e-05,3.19739e-05,3.19739e-05
